Trade_Dt,name,value
1/7/2019,Quality,0.024746605
1/7/2019,Mom,-0.0001529
1/7/2019,Growth	,-0.00447656
1/7/2019,Mkt,-0.007388809
1/7/2019,Size,-0.025138276
