date,close
1-Jan-19,-0.0004
2-Jan-19,-0.0149
3-Jan-19,-0.021
4-Jan-19,-0.012
7-Jan-19,-0.0124
8-Jan-19,-0.0115
9-Jan-19,0.0063
10-Jan-19,0.0125
11-Jan-19,0.0163
14-Jan-19,0.0166
15-Jan-19,0.0172
16-Jan-19,0.0174
17-Jan-19,0.0174
18-Jan-19,0.013
21-Jan-19,0.0098
22-Jan-19,0.0024
23-Jan-19,0.0065
24-Jan-19,0.0153
25-Jan-19,0.0143
28-Jan-19,0.0124
29-Jan-19,0.0145
30-Jan-19,0.0226
31-Jan-19,0.0335
1-Feb-19,0.0405
4-Feb-19,0.037
5-Feb-19,0.0414
6-Feb-19,0.0339
7-Feb-19,0.0331
8-Feb-19,0.0292
11-Feb-19,0.0241
12-Feb-19,0.0297
13-Feb-19,0.0193
14-Feb-19,0.0275
15-Feb-19,0.014
18-Feb-19,0.0136
19-Feb-19,0.0129
20-Feb-19,0.0141
21-Feb-19,0.0166
22-Feb-19,0.0189
25-Feb-19,0.0232
26-Feb-19,0.023
27-Feb-19,0.0244
28-Feb-19,0.0178
1-Mar-19,0.0182
4-Mar-19,0.0185
5-Mar-19,0.0351
6-Mar-19,0.036
7-Mar-19,0.0299
8-Mar-19,0.0262
11-Mar-19,0.0439
12-Mar-19,0.0431
13-Mar-19,0.0407
14-Mar-19,0.0407
15-Mar-19,0.0499
18-Mar-19,0.0577
19-Mar-19,0.0542
20-Mar-19,0.0506
21-Mar-19,0.0506
22-Mar-19,0.0382
25-Mar-19,0.0372
26-Mar-19,0.0505
27-Mar-19,0.0442
28-Mar-19,0.0552
29-Mar-19,0.0639
1-Apr-19,0.0753
2-Apr-19,0.0743
3-Apr-19,0.07
4-Apr-19,0.0599
5-Apr-19,0.0646
8-Apr-19,0.059
9-Apr-19,0.0658
10-Apr-19,0.068
11-Apr-19,0.0615
12-Apr-19,0.0585
15-Apr-19,0.0587
16-Apr-19,0.0619
17-Apr-19,0.0561
18-Apr-19,0.0496
19-Apr-19,0.0489
22-Apr-19,0.0374
23-Apr-19,0.037
24-Apr-19,0.0364
25-Apr-19,0.0394
26-Apr-19,0.0415
29-Apr-19,0.044
30-Apr-19,0.0503
1-May-19,0.0502
2-May-19,0.0419
3-May-19,0.045
6-May-19,0.0229
7-May-19,0.0189
8-May-19,0.0143
9-May-19,0.0081
10-May-19,0.0087
13-May-19,-0.014
14-May-19,-0.0164
15-May-19,-0.0144
16-May-19,-0.0177
17-May-19,-0.0182
20-May-19,-0.0075
21-May-19,0.0029
22-May-19,0.0072
23-May-19,-0.0074
24-May-19,-0.0017
27-May-19,-0.0048
28-May-19,0.0013
29-May-19,-0.002
30-May-19,0.0016
31-May-19,0.0031
3-Jun-19,0.019
4-Jun-19,0.0108
5-Jun-19,0.0052
6-Jun-19,0.0012
7-Jun-19,0.0013
10-Jun-19,0.0081
11-Jun-19,0.0179
12-Jun-19,0.0142
13-Jun-19,0.017
14-Jun-19,0.0062
17-Jun-19,0.0021
18-Jun-19,0.0067
19-Jun-19,0.0116
20-Jun-19,0.0274
21-Jun-19,0.0279
24-Jun-19,0.0259
25-Jun-19,0.018
26-Jun-19,0.0231
27-Jun-19,0.0311
28-Jun-19,0.0327
1-Jul-19,0.0349
2-Jul-19,0.0367
3-Jul-19,0.0424
4-Jul-19,0.0478
5-Jul-19,0.0437
8-Jul-19,0.027
9-Jul-19,0.0343
10-Jul-19,0.0459
11-Jul-19,0.0622
12-Jul-19,0.0549
15-Jul-19,0.0472
16-Jul-19,0.0394
17-Jul-19,0.035
18-Jul-19,0.0328
19-Jul-19,0.0201
22-Jul-19,0.0091
23-Jul-19,-0.0014
24-Jul-19,-0.0058
25-Jul-19,-0.0025
26-Jul-19,0.0003
29-Jul-19,-0.0042
30-Jul-19,-0.0087
31-Jul-19,-0.0056
1-Aug-19,-0.0101
2-Aug-19,-0.0061
5-Aug-19,-0.0403
6-Aug-19,-0.0388
7-Aug-19,-0.0412
8-Aug-19,-0.016
9-Aug-19,-0.0092
12-Aug-19,-0.0228
13-Aug-19,-0.03
14-Aug-19,-0.0412
15-Aug-19,-0.045
16-Aug-19,-0.0361
19-Aug-19,-0.0306
20-Aug-19,-0.0366
21-Aug-19,-0.0408
22-Aug-19,-0.0516
23-Aug-19,-0.0644
26-Aug-19,-0.072
27-Aug-19,-0.0702
28-Aug-19,-0.0704
29-Aug-19,-0.0648
30-Aug-19,-0.0558
