Trade_Dt,Benchmark DD Cumulative,Fund Cum Ret 
30-Sep-14,-0.074,-0.0435
31-Oct-14,-0.063,-0.0309
30-Nov-14,-0.073,-0.0514
31-Dec-14,-0.115,-0.0766
31-Jan-15,-0.110,-0.1004
28-Feb-15,-0.082,-0.0799
31-Mar-15,-0.095,-0.1005
30-Apr-15,-0.025,-0.0845
31-May-15,-0.064,-0.07
30-Jun-15,-0.088,-0.074
31-Jul-15,-0.150,-0.0959
31-Aug-15,-0.227,-0.1544
30-Sep-15,-0.250,-0.1764
31-Oct-15,-0.196,-0.1382
30-Nov-15,-0.227,-0.1663
31-Dec-15,-0.244,-0.1676
