Date,Sector,Net
2017-01-26,Health Care,0.0612
2017-01-26,Materials,0.1489
2017-01-26,Consumer Discretionary,0.2715
2017-01-26,Financials,0.2177
2017-01-26,Index,0.0421
2017-01-26,Currency,0
2017-01-26,Industrials,0.2038
2017-01-26,Consumer Staples,0.0386
2017-01-27,Health Care,0.0601
2017-01-27,Real Estate,0.0082
2017-01-27,Consumer Discretionary,0.2731
2017-01-27,Index,0.0428
2017-01-27,Industrials,0.2031
2017-01-27,Consumer Staples,0.0391
2017-01-27,Financials,0.2172
2017-01-27,Currency,0
2017-01-27,Materials,0.148
2017-01-30,Real Estate,0.0082
2017-01-30,Consumer Staples,0.0394
2017-01-30,Materials,0.1489
2017-01-30,Financials,0.2165
2017-01-30,Health Care,0.06
2017-01-30,Industrials,0.2017
2017-01-30,Consumer Discretionary,0.2741
2017-01-30,Index,0.0428
2017-01-30,Currency,0
2017-01-31,Industrials,0.2014
2017-01-31,Financials,0.2177
2017-01-31,Materials,0.1474
2017-01-31,Health Care,0.0604
2017-01-31,Real Estate,0.0085
2017-01-31,Currency,0
2017-01-31,Index,0.0449
2017-01-31,Consumer Discretionary,0.2734
2017-01-31,Consumer Staples,0.0394
2017-02-01,Industrials,0.2001
2017-02-01,Index,0.0444
2017-02-01,Materials,0.151
2017-02-01,Health Care,0.0606
2017-02-01,Consumer Discretionary,0.2703
2017-02-01,Consumer Staples,0.0392
2017-02-01,Real Estate,0.0086
2017-02-01,Currency,0
2017-02-01,Financials,0.2153
2017-02-02,Index,0.0454
2017-02-02,Materials,0.1523
2017-02-02,Real Estate,0.0097
2017-02-02,Currency,0
2017-02-02,Financials,0.2151
2017-02-02,Health Care,0.0616
2017-02-02,Industrials,0.2012
2017-02-02,Consumer Staples,0.0397
2017-02-02,Consumer Discretionary,0.2648
2017-02-03,Industrials,0.201
2017-02-03,Materials,0.154
2017-02-03,Financials,0.2114
2017-02-03,Currency,0
2017-02-03,Real Estate,0.0098
2017-02-03,Consumer Staples,0.0402
2017-02-03,Health Care,0.0614
2017-02-03,Index,0.0455
2017-02-03,Consumer Discretionary,0.2625
2017-02-06,Index,0.0467
2017-02-06,Health Care,0.061
2017-02-06,Currency,0
2017-02-06,Real Estate,0.01
2017-02-06,Materials,0.1532
2017-02-06,Financials,0.2124
2017-02-06,Consumer Discretionary,0.2639
2017-02-06,Consumer Staples,0.04
2017-02-06,Industrials,0.2002
2017-02-07,Health Care,0.0618
2017-02-07,Index,0.0466
2017-02-07,Industrials,0.201
2017-02-07,Currency,0
2017-02-07,Consumer Discretionary,0.2629
2017-02-07,Materials,0.1521
2017-02-07,Consumer Staples,0.0419
2017-02-07,Real Estate,0.0101
2017-02-07,Financials,0.2115
2017-02-08,Industrials,0.1992
2017-02-08,Currency,0
2017-02-08,Health Care,0.0626
2017-02-08,Consumer Discretionary,0.2645
2017-02-08,Financials,0.21
2017-02-08,Consumer Staples,0.0424
2017-02-08,Index,0.0484
2017-02-08,Materials,0.151
2017-02-08,Real Estate,0.0099
2017-02-09,Consumer Staples,0.0419
