Trade_Dt,Mkt,Growth,Mom,Quality,Size,Funds
30-01-19,0.047613177,-0.01973957,-3.99E-05,0.000751578,0.004053766,0.0226
18-02-19,0.048063371,-0.015865491,-0.000935614,0.001344978,0.005624491,0.0136
12-06-19,0.048130527,-0.008126325,-0.000962875,-0.004481101,0.004248294,0.0142
19-02-19,0.048229781,-0.016745345,-0.000892726,0.002072045,0.005560228,0.0129
14-02-19,0.0497256,-0.016564251,-0.000958334,0.000444788,0.005541005,0.0275
10-05-19,0.050462836,-0.007617036,-0.002285089,-0.000972187,0.005530508,0.0087
07-02-19,0.051421814,-0.016994905,-0.000482094,-0.00042086,0.005074461,0.0331
13-02-19,0.051505091,-0.01776916,-0.000907922,0.000125358,0.005412769,0.0193
12-02-19,0.051701316,-0.016694109,-0.000582903,-0.000803761,0.005095481,0.0297
11-06-19,0.052002183,-0.008055899,-0.000894539,-0.004504799,0.004512451,0.0179
11-03-19,0.053330607,-0.013224567,-0.002819343,0.002445869,0.00588528,0.0439
01-08-19,0.054084881,-0.004278785,0.002734554,-0.005057696,0.007191526,-0.0101
07-03-19,0.054933061,-0.017031147,-0.00279035,0.003694018,0.006271355,0.0299
04-02-19,0.055442398,-0.020766612,-0.000224804,0.00122963,0.004616413,0.037
06-02-19,0.055752925,-0.018737754,-0.000571889,-0.000156318,0.005081185,0.0339
27-03-19,0.056089441,-0.011430527,-0.002921121,-0.00123465,0.005781621,0.0442
31-01-19,0.056668697,-0.019473363,-0.000235503,0.000637985,0.004141601,0.0335
20-02-19,0.056761906,-0.017145698,-0.00125838,0.002869962,0.00620207,0.0141
01-02-19,0.056883427,-0.018665887,-0.000354259,0.000584588,0.004426757,0.0405
28-03-19,0.05725692,-0.009211797,-0.002952491,-0.002088783,0.005747353,0.0552
21-02-19,0.057955915,-0.017228499,-0.001345991,0.002582008,0.006548893,0.0166
05-02-19,0.058028243,-0.02056161,-0.000412815,0.00106732,0.004591465,0.0414
19-06-19,0.058208368,-0.008185511,-0.000853875,-0.004482398,0.004078631,0.0116
14-03-19,0.058435263,-0.014005488,-0.002835234,0.002043597,0.005908041,0.0407
25-03-19,0.058443459,-0.013218185,-0.002942621,-0.000368841,0.005835917,0.0372
28-02-19,0.059561103,-0.016492875,-0.002132823,0.004591341,0.005716422,0.0178
13-03-19,0.059955514,-0.013774684,-0.00282592,0.001984439,0.006019713,0.0407
01-03-19,0.059988396,-0.017230365,-0.002488981,0.004209765,0.005958721,0.0182
26-03-19,0.060336509,-0.011246448,-0.003071869,-0.001092288,0.005802174,0.0505
12-03-19,0.060617312,-0.013669651,-0.002811218,0.002422471,0.0062539,0.0431
04-03-19,0.061385211,-0.017638115,-0.002727479,0.003421408,0.006271113,0.0185
05-03-19,0.062452041,-0.017157251,-0.002990028,0.003325215,0.006080293,0.0351
08-05-19,0.062627356,-0.01053824,-0.002312376,4.77E-05,0.005818459,0.0143
06-03-19,0.063017828,-0.017678959,-0.003056134,0.003561244,0.00632442,0.036
31-07-19,0.06359747,-0.005157421,0.002297559,-0.004898449,0.007061948,-0.0056
22-02-19,0.063702077,-0.017451647,-0.001699722,0.002870288,0.006520977,0.0189
15-03-19,0.064807176,-0.014032191,-0.002835394,0.001599859,0.00581572,0.0499
25-06-19,0.065072514,-0.009368579,-0.001067334,-0.004414408,0.004779245,0.018
27-02-19,0.065253954,-0.017451758,-0.002165293,0.004429686,0.006294506,0.0244
29-03-19,0.066251922,-0.008872768,-0.002874257,-0.002237806,0.005757578,0.0639
22-03-19,0.066626959,-0.01415564,-0.002762033,0.000634961,0.005848905,0.0382
07-05-19,0.066814924,-0.011421953,-0.002352504,-8.56E-05,0.00595422,0.0189
09-07-19,0.066904814,-0.009065512,0.000519737,-0.004506114,0.0058082,0.0343
26-06-19,0.067259641,-0.009350638,-0.001091424,-0.004445838,0.004789019,0.0231
26-02-19,0.067276898,-0.017866277,-0.002287091,0.003703362,0.006801144,0.023
30-07-19,0.068235612,-0.006016454,0.002343839,-0.004914791,0.007310622,-0.0087
25-02-19,0.068724868,-0.018582479,-0.002455308,0.004331516,0.006387138,0.0232
08-07-19,0.069304915,-0.009538072,0.000116817,-0.004492054,0.005126649,0.027
21-06-19,0.069556086,-0.00835809,-0.001048425,-0.004418382,0.004698796,0.0279
20-06-19,0.069946914,-0.008006871,-0.001074557,-0.004474121,0.004354516,0.0274
29-07-19,0.070154693,-0.005601078,0.001977903,-0.004828521,0.007078199,-0.0042
24-06-19,0.070390796,-0.010062459,-0.001052878,-0.004362952,0.004934715,0.0259
06-05-19,0.070573168,-0.012665848,-0.002410928,0.000632326,0.006010256,0.0229
10-07-19,0.071220486,-0.008144414,0.000603838,-0.004522911,0.005405453,0.0459
26-07-19,0.072373743,-0.006425316,0.000860309,-0.004646234,0.006946739,0.0003
20-03-19,0.072659993,-0.014555033,-0.002795316,0.000522485,0.005691476,0.0506
12-07-19,0.072783852,-0.009653275,0.000461005,-0.004406122,0.005617086,0.0549
27-06-19,0.073005104,-0.009588857,-0.000884317,-0.004464105,0.004887719,0.0311
28-06-19,0.073038091,-0.010586878,-0.000741013,-0.004494699,0.005543953,0.0327
18-03-19,0.073158605,-0.015025568,-0.002762072,0.00076801,0.005716563,0.0577
21-03-19,0.073533774,-0.014472484,-0.002756736,0.000380821,0.00581169,0.0506
