trade_dt,Country,VaR90D%
1/23/2017,Indonesia,-0.001229483
1/23/2017,Chile,-9.11183E-05
1/23/2017,Taiwan,-0.000705751
1/23/2017,Mexico,-0.004227282
1/23/2017,Philippines,-0.00652437
1/23/2017,Japan,-0.000840937
1/23/2017,Brazil,-0.003415107
1/23/2017,India,-0.009121737
1/23/2017,United States,-0.000515722
1/24/2017,Japan,-0.000792552
1/24/2017,Taiwan,-0.000618589
1/24/2017,India,-0.009599996
1/24/2017,Philippines,-0.006037107
1/24/2017,Indonesia,-0.001262596
1/24/2017,Brazil,-0.003419864
1/24/2017,China,-0.000283569
1/24/2017,United States,-0.000507552
1/24/2017,Chile,-0.00010499
1/24/2017,Mexico,-0.004912837
1/25/2017,China,-0.000281666
1/25/2017,Chile,-0.000109717
1/25/2017,Mexico,-0.005109555
1/25/2017,Indonesia,-0.001246352
1/25/2017,Brazil,-0.003393745
1/25/2017,United States,-0.0005631
1/25/2017,India,-0.009496717
1/25/2017,Taiwan,-0.000615792
1/25/2017,Japan,-0.000818559
1/25/2017,Philippines,-0.005934957
1/26/2017,China,-0.000254731
1/26/2017,Chile,-0.000111299
1/26/2017,Philippines,-0.005897789
1/26/2017,Indonesia,-0.001267582
1/26/2017,Brazil,-0.003473678
1/26/2017,India,-0.009424259
1/26/2017,Taiwan,-0.000611918
1/26/2017,United States,-0.000584218
1/26/2017,Japan,-0.000809673
1/26/2017,Mexico,-0.005136623
1/27/2017,Mexico,-0.00533943
1/27/2017,Taiwan,-0.000600527
1/27/2017,Chile,-0.000111595
1/27/2017,Japan,-0.00077724
1/27/2017,Philippines,-0.005753655
1/27/2017,China,-0.000246286
1/27/2017,Indonesia,-0.001215813
1/27/2017,United States,-0.000595493
1/27/2017,India,-0.009383336
1/27/2017,Brazil,-0.003496635
1/30/2017,China,-0.000274714
1/30/2017,Philippines,-0.005030878
1/30/2017,Chile,-9.81686E-05
1/30/2017,Mexico,-0.00550899
1/30/2017,Japan,-0.000794425
1/30/2017,United States,-0.000571783
1/30/2017,India,-0.009533883
1/30/2017,Brazil,-0.00346507
1/30/2017,Taiwan,-0.000584511
1/30/2017,Indonesia,-0.001243455
1/31/2017,China,-0.000290286
1/31/2017,United States,-0.000571102
1/31/2017,Chile,-0.000105952
1/31/2017,Mexico,-0.005625678
1/31/2017,Japan,-0.000812965
1/31/2017,Taiwan,-0.00052242
1/31/2017,Philippines,-0.005099845
1/31/2017,India,-0.0092754
1/31/2017,Indonesia,-0.001250527
1/31/2017,Brazil,-0.003372255
2/1/2017,United States,-0.000552528
2/1/2017,India,-0.009348844
2/1/2017,Philippines,-0.004918824
2/1/2017,Taiwan,-0.00047315
2/1/2017,Brazil,-0.003279187
2/1/2017,China,-0.000233447
2/1/2017,Indonesia,-0.001260158
2/1/2017,Japan,-0.000898144
2/1/2017,Chile,-0.000110444
2/1/2017,Mexico,-0.005546093
2/2/2017,Japan,-0.000892697
2/2/2017,Chile,-0.0001254
2/2/2017,Mexico,-0.005474198
2/2/2017,United States,-0.000568385
2/2/2017,China,-0.000232759
2/2/2017,Indonesia,-0.001296146
2/2/2017,India,-0.00928651
2/2/2017,Brazil,-0.003390966
2/2/2017,Taiwan,-0.000469221
2/2/2017,Philippines,-0.004932071
2/3/2017,Philippines,-0.004759204
2/3/2017,Chile,-0.000126889
2/3/2017,Mexico,-0.005443338
2/3/2017,China,-0.000235352
2/3/2017,Brazil,-0.003439038
2/3/2017,Indonesia,-0.001285559
2/3/2017,Taiwan,-0.000469793
2/3/2017,United States,-0.000568267
2/3/2017,India,-0.009218319
2/3/2017,Japan,-0.000881626
2/6/2017,India,-0.009209253
2/6/2017,United States,-0.000499287
2/6/2017,Brazil,-0.003315377
2/6/2017,China,-0.00028811
2/6/2017,Indonesia,-0.001337012
2/6/2017,Chile,-0.00013403
2/6/2017,Mexico,-0.005133039
2/6/2017,Japan,-0.000909692
2/6/2017,Philippines,-0.004602408
2/6/2017,Taiwan,-0.000488931
2/7/2017,Philippines,-0.004097837
2/7/2017,Chile,-0.000148069
2/7/2017,Mexico,-0.004044281
