Trade_Dt,PNL,Positive_Var90D,Negative_Var90D,,,,,,,,,
14-Apr-17,-0.06,1.23,-1.23,,,,,,,,,
17-Apr-17,-0.23,1.2,-1.20,,,,,,,,,
18-Apr-17,-0.13,1.2,-1.20,,,,,,,,,
19-Apr-17,-0.06,1.2,-1.20,,,,,,,,,
20-Apr-17,0.44,1.2,-1.20,,,,,,,,,
21-Apr-17,-0.05,1.2,-1.20,,,,,,,,,
24-Apr-17,1.16,1.14,-1.14,,,,,,,,,
25-Apr-17,0.91,1.14,-1.14,,,,,,,,,
26-Apr-17,0.48,1.15,-1.15,,,,,,,,,
27-Apr-17,-0.45,1.17,-1.17,,,,,,,,,
28-Apr-17,0.19,1.2,-1.21,,,,,,,,,
01-May-17,0.09,1.21,-1.21,,,,,,,,,
02-May-17,0.88,1.21,-1.21,,,,,,,,,
03-May-17,-0.12,1.21,-1.21,,,,,,,,,
04-May-17,-0.65,1.24,-1.24,,,,,,,,,
05-May-17,-0.1,1.23,-1.23,,,,,,,,,
08-May-17,0.39,1.23,-1.24,,,,,,,,,
09-May-17,0.51,1.24,-1.24,,,,,,,,,
10-May-17,0.38,1.26,-1.26,,,,,,,,,
11-May-17,1.13,1.23,-1.24,,,,,,,,,
12-May-17,0.34,1.24,-1.24,,,,,,,,,
15-May-17,1.12,1.26,-1.26,,,,,,,,,
16-May-17,-0.13,1.26,-1.26,,,,,,,,,
17-May-17,-0.83,1.28,-1.28,,,,,,,,,
18-May-17,-3.07,1.64,-1.64,,,,,,,,,
19-May-17,1.05,1.68,-1.68,,,,,,,,,
22-May-17,-0.9,1.7,-1.70,,,,,,,,,
23-May-17,-0.57,1.72,-1.72,,,,,,,,,
24-May-17,-0.03,1.74,-1.74,,,,,,,,,
25-May-17,0.74,1.75,-1.75,,,,,,,,,
26-May-17,0.44,1.76,-1.76,,,,,,,,,
29-May-17,-0.14,1.77,-1.77,,,,,,,,,
30-May-17,-0.72,1.77,-1.77,,,,,,,,,
31-May-17,0.28,1.76,-1.76,,,,,,,,,
01-Jun-17,0.33,1.76,-1.76,,,,,,,,,
02-Jun-17,0.33,1.74,-1.74,,,,,,,,,
05-Jun-17,0.77,1.71,-1.71,,,,,,,,,
06-Jun-17,-0.57,1.7,-1.70,,,,,,,,,
07-Jun-17,0.17,1.71,-1.71,,,,,,,,,
08-Jun-17,0.84,1.7,-1.71,,,,,,,,,
09-Jun-17,0.41,1.69,-1.69,,,,,,,,,
12-Jun-17,-0.3,1.67,-1.67,,,,,,,,,
13-Jun-17,0.58,1.65,-1.65,,,,,,,,,
14-Jun-17,0.57,1.64,-1.64,,,,,,,,,
