trade_dt,Ticker_Und,VaR90D%
1/3/2017,MPI PM Equity,-0.00201
1/3/2017,SECB PM Equity,-0.00135
1/3/2017,KLBF IJ Equity,-0.00077
1/4/2017,SRCM IN Equity,-0.00190
1/4/2017,MIKA IJ Equity,-0.00036
1/4/2017,2199 HK Equity,-0.00033
1/4/2017,SECB PM Equity,-0.00168
1/4/2017,ACES IJ Equity,-0.00005
1/4/2017,6409 TT Equity,-0.00068
1/4/2017,4613 JT Equity,-0.00077
1/4/2017,PARAUCO CI Equity,-0.00007
1/4/2017,MPI PM Equity,-0.00238
1/4/2017,DMC PM Equity,-0.00043
1/4/2017,JPYUSD Curncy,0.00005
1/4/2017,KLBF IJ Equity,-0.00083
1/4/2017,ALSEA* MM Equity,-0.00378
1/4/2017,EEM US Equity,-0.00065
1/4/2017,RBK IN Equity,-0.00042
1/4/2017,MRCO IN Equity,-0.00077
1/4/2017,PI IN Equity,-0.00067
1/4/2017,KINO IJ Equity,-0.00010
1/4/2017,TVSL IN Equity,-0.00110
1/4/2017,URC PM Equity,0.00000
1/4/2017,PAG IN Equity,-0.00268
1/4/2017,GFREGIO MM Equity,-0.00113
1/4/2017,ICT PM Equity,-0.00197
1/4/2017,EIM IN Equity,-0.00144
1/4/2017,RAIL3 BZ Equity,-0.00275
1/5/2017,GFREGIO MM Equity,-0.00108
1/5/2017,KINO IJ Equity,-0.00012
1/5/2017,ICT PM Equity,-0.00198
1/5/2017,MIKA IJ Equity,-0.00033
1/5/2017,EIM IN Equity,-0.00143
1/5/2017,ACES IJ Equity,-0.00005
1/5/2017,2199 HK Equity,-0.00040
1/5/2017,TVSL IN Equity,-0.00117
1/5/2017,RBK IN Equity,-0.00045
1/5/2017,EEM US Equity,-0.00066
1/5/2017,JPYUSD Curncy,0.00009
1/5/2017,PARAUCO CI Equity,-0.00007
1/5/2017,PAG IN Equity,-0.00261
1/5/2017,MPI PM Equity,-0.00242
1/5/2017,URC PM Equity,0.00000
1/5/2017,KLBF IJ Equity,-0.00086
1/5/2017,SRCM IN Equity,-0.00184
1/5/2017,MRCO IN Equity,-0.00079
1/5/2017,4613 JT Equity,-0.00081
1/5/2017,6409 TT Equity,-0.00079
1/5/2017,DMC PM Equity,-0.00041
1/5/2017,PI IN Equity,-0.00070
1/5/2017,SECB PM Equity,-0.00228
1/5/2017,RAIL3 BZ Equity,-0.00266
1/5/2017,ALSEA* MM Equity,-0.00359
1/6/2017,ICT PM Equity,-0.00203
1/6/2017,ALSEA* MM Equity,-0.00345
1/6/2017,KLBF IJ Equity,-0.00085
1/6/2017,MPI PM Equity,-0.00238
1/6/2017,PI IN Equity,-0.00069
1/6/2017,MRCO IN Equity,-0.00078
1/6/2017,4613 JT Equity,-0.00080
1/6/2017,RBK IN Equity,-0.00045
1/6/2017,2199 HK Equity,-0.00039
1/6/2017,EIM IN Equity,-0.00144
1/6/2017,DMC PM Equity,-0.00038
1/6/2017,RAIL3 BZ Equity,-0.00272
1/6/2017,TVSL IN Equity,-0.00116
1/6/2017,GFREGIO MM Equity,-0.00108
1/6/2017,URC PM Equity,0.00000
1/6/2017,KINO IJ Equity,-0.00012
1/6/2017,ACES IJ Equity,-0.00005
1/6/2017,6409 TT Equity,-0.00078
1/6/2017,SECB PM Equity,-0.00222
1/6/2017,SRCM IN Equity,-0.00184
1/6/2017,PARAUCO CI Equity,-0.00007
1/6/2017,JPYUSD Curncy,0.00009
1/6/2017,PAG IN Equity,-0.00254
1/6/2017,MIKA IJ Equity,-0.00033
1/6/2017,EEM US Equity,-0.00065
1/9/2017,RBK IN Equity,-0.00045
1/9/2017,PAG IN Equity,-0.00258
1/9/2017,PI IN Equity,-0.00070
1/9/2017,URC PM Equity,0.00000
1/9/2017,TVSL IN Equity,-0.00117
1/9/2017,ALSEA* MM Equity,-0.00334
1/9/2017,GFREGIO MM Equity,-0.00107
1/9/2017,KINO IJ Equity,-0.00012
1/9/2017,MRCO IN Equity,-0.00079
1/9/2017,SECB PM Equity,-0.00227
1/9/2017,EIM IN Equity,-0.00142
1/9/2017,EEM US Equity,-0.00064
1/9/2017,PARAUCO CI Equity,-0.00007
1/9/2017,ACES IJ Equity,-0.00005
1/9/2017,JPYUSD Curncy,0.00009
1/9/2017,MIKA IJ Equity,-0.00033
1/9/2017,6409 TT Equity,-0.00078
1/9/2017,DMC PM Equity,-0.00038
1/9/2017,RAIL3 BZ Equity,-0.00283
1/9/2017,SRCM IN Equity,-0.00188
1/9/2017,KLBF IJ Equity,-0.00087
1/9/2017,ICT PM Equity,-0.00206
1/9/2017,2199 HK Equity,-0.00039
1/9/2017,MPI PM Equity,-0.00243
1/9/2017,4613 JT Equity,-0.00081
1/10/2017,EIM IN Equity,-0.00143
1/10/2017,RAIL3 BZ Equity,-0.00292
1/10/2017,MPI PM Equity,-0.00255
1/10/2017,PARAUCO CI Equity,-0.00008
1/10/2017,ICT PM Equity,-0.00206
1/10/2017,PAG IN Equity,-0.00265
1/10/2017,JPYUSD Curncy,0.00009
1/10/2017,ACES IJ Equity,-0.00004
1/10/2017,MRCO IN Equity,-0.00082
1/10/2017,PI IN Equity,-0.00068
1/10/2017,4613 JT Equity,-0.00082
1/10/2017,6409 TT Equity,-0.00077
1/10/2017,KLBF IJ Equity,-0.00088
1/10/2017,TVSL IN Equity,-0.00117
1/10/2017,DMC PM Equity,-0.00035
1/10/2017,GFREGIO MM Equity,-0.00099
1/10/2017,ALSEA* MM Equity,-0.00318
1/10/2017,EEM US Equity,-0.00064
1/10/2017,2199 HK Equity,-0.00032
1/10/2017,MIKA IJ Equity,-0.00035
1/10/2017,SRCM IN Equity,-0.00191
1/10/2017,SECB PM Equity,-0.00207
1/10/2017,RBK IN Equity,-0.00047
1/10/2017,KINO IJ Equity,-0.00012
1/10/2017,URC PM Equity,0.00000
1/11/2017,SRCM IN Equity,-0.00200
1/11/2017,RBK IN Equity,-0.00048
1/11/2017,KINO IJ Equity,-0.00012
1/11/2017,2199 HK Equity,-0.00031
1/11/2017,ALSEA* MM Equity,-0.00313
1/11/2017,EEM US Equity,-0.00065
1/11/2017,EIM IN Equity,-0.00139
1/11/2017,6409 TT Equity,-0.00076
1/11/2017,PI IN Equity,-0.00068
1/11/2017,TVSL IN Equity,-0.00116
1/11/2017,PARAUCO CI Equity,-0.00008
1/11/2017,MRCO IN Equity,-0.00084
1/11/2017,ICT PM Equity,-0.00206
1/11/2017,RAIL3 BZ Equity,-0.00289
1/11/2017,MIKA IJ Equity,-0.00035
1/11/2017,SECB PM Equity,-0.00207
1/11/2017,DMC PM Equity,-0.00035
1/11/2017,MPI PM Equity,-0.00248
1/11/2017,4613 JT Equity,-0.00080
1/11/2017,GFREGIO MM Equity,-0.00093
1/11/2017,KLBF IJ Equity,-0.00087
1/11/2017,PAG IN Equity,-0.00270
1/11/2017,JPYUSD Curncy,0.00009
1/11/2017,ACES IJ Equity,-0.00004
1/11/2017,URC PM Equity,0.00000
1/12/2017,KLBF IJ Equity,-0.00086
1/12/2017,DMC PM Equity,-0.00034
1/12/2017,MPI PM Equity,-0.00246
1/12/2017,TVSL IN Equity,-0.00119
1/12/2017,PI IN Equity,-0.00071
1/12/2017,RBK IN Equity,-0.00046
1/12/2017,PARAUCO CI Equity,-0.00009
1/12/2017,SRCM IN Equity,-0.00201
1/12/2017,RAIL3 BZ Equity,-0.00316
1/12/2017,URC PM Equity,0.00000
1/12/2017,PAG IN Equity,-0.00265
1/12/2017,6409 TT Equity,-0.00073
1/12/2017,4613 JT Equity,-0.00084
1/12/2017,EIM IN Equity,-0.00134
1/12/2017,SECB PM Equity,-0.00197
1/12/2017,ACES IJ Equity,-0.00004
1/12/2017,2199 HK Equity,-0.00030
1/12/2017,KINO IJ Equity,-0.00013
1/12/2017,GFREGIO MM Equity,-0.00098
1/12/2017,ALSEA* MM Equity,-0.00324
1/12/2017,MRCO IN Equity,-0.00085
1/12/2017,JPYUSD Curncy,0.00011
1/12/2017,MIKA IJ Equity,-0.00032
1/12/2017,EEM US Equity,-0.00066
1/12/2017,ICT PM Equity,-0.00200
1/13/2017,DMC PM Equity,-0.00033
1/13/2017,4613 JT Equity,-0.00084
1/13/2017,2199 HK Equity,-0.00030
1/13/2017,TVSL IN Equity,-0.00118
1/13/2017,PARAUCO CI Equity,-0.00009
1/13/2017,RBK IN Equity,-0.00046
1/13/2017,GFREGIO MM Equity,-0.00099
1/13/2017,JPYUSD Curncy,0.00012
1/13/2017,SECB PM Equity,-0.00195
1/13/2017,RAIL3 BZ Equity,-0.00306
1/13/2017,6409 TT Equity,-0.00072
1/13/2017,KINO IJ Equity,-0.00013
1/13/2017,EEM US Equity,-0.00065
1/13/2017,PAG IN Equity,-0.00265
1/13/2017,MRCO IN Equity,-0.00086
1/13/2017,PI IN Equity,-0.00071
1/13/2017,ACES IJ Equity,-0.00004
1/13/2017,EIM IN Equity,-0.00134
1/13/2017,URC PM Equity,0.00000
1/13/2017,MPI PM Equity,-0.00243
1/13/2017,SRCM IN Equity,-0.00200
1/13/2017,ICT PM Equity,-0.00198
1/13/2017,KLBF IJ Equity,-0.00085
1/13/2017,ALSEA* MM Equity,-0.00323
1/13/2017,MIKA IJ Equity,-0.00032
1/16/2017,PAG IN Equity,-0.00255
1/16/2017,KINO IJ Equity,-0.00013
1/16/2017,ACES IJ Equity,-0.00004
1/16/2017,2199 HK Equity,-0.00028
1/16/2017,URC PM Equity,0.00000
1/16/2017,EIM IN Equity,-0.00134
1/16/2017,DMC PM Equity,-0.00031
1/16/2017,ICT PM Equity,-0.00178
1/16/2017,JPYUSD Curncy,0.00011
1/16/2017,MPI PM Equity,-0.00251
1/16/2017,RAIL3 BZ Equity,-0.00302
1/16/2017,SECB PM Equity,-0.00185
1/16/2017,EEM US Equity,-0.00064
1/16/2017,SRCM IN Equity,-0.00202
1/16/2017,MIKA IJ Equity,-0.00023
1/16/2017,MRCO IN Equity,-0.00083
1/16/2017,6409 TT Equity,-0.00073
1/16/2017,RBK IN Equity,-0.00048
1/16/2017,PARAUCO CI Equity,-0.00008
1/16/2017,ALSEA* MM Equity,-0.00324
1/16/2017,GFREGIO MM Equity,-0.00103
1/16/2017,PI IN Equity,-0.00076
1/16/2017,TVSL IN Equity,-0.00118
1/16/2017,KLBF IJ Equity,-0.00087
1/16/2017,4613 JT Equity,-0.00088
1/17/2017,RAIL3 BZ Equity,-0.00314
1/17/2017,MIKA IJ Equity,-0.00024
1/17/2017,MPI PM Equity,-0.00243
1/17/2017,KINO IJ Equity,-0.00014
1/17/2017,4613 JT Equity,-0.00086
1/17/2017,DMC PM Equity,-0.00029
1/17/2017,SRCM IN Equity,-0.00209
1/17/2017,PARAUCO CI Equity,-0.00009
1/17/2017,ALSEA* MM Equity,-0.00311
1/17/2017,KLBF IJ Equity,-0.00087
1/17/2017,GFREGIO MM Equity,-0.00100
1/17/2017,ICT PM Equity,-0.00174
1/17/2017,URC PM Equity,0.00000
1/17/2017,ACES IJ Equity,-0.00004
1/17/2017,6409 TT Equity,-0.00072
1/17/2017,EIM IN Equity,-0.00135
1/17/2017,2199 HK Equity,-0.00029
1/17/2017,EEM US Equity,-0.00064
1/17/2017,PAG IN Equity,-0.00259
1/17/2017,RBK IN Equity,-0.00049
1/17/2017,MRCO IN Equity,-0.00083
1/17/2017,TVSL IN Equity,-0.00118
1/17/2017,SECB PM Equity,-0.00178
1/17/2017,JPYUSD Curncy,0.00010
1/17/2017,PI IN Equity,-0.00078
1/18/2017,SRCM IN Equity,-0.00217
1/18/2017,SECB PM Equity,-0.00185
1/18/2017,JPYUSD Curncy,0.00010
1/18/2017,TVSL IN Equity,-0.00120
1/18/2017,6409 TT Equity,-0.00075
1/18/2017,ACES IJ Equity,-0.00004
1/18/2017,URC PM Equity,0.00000
1/18/2017,2199 HK Equity,-0.00028
1/18/2017,PI IN Equity,-0.00080
1/18/2017,4613 JT Equity,-0.00086
1/18/2017,KINO IJ Equity,-0.00013
1/18/2017,KLBF IJ Equity,-0.00090
1/18/2017,ALSEA* MM Equity,-0.00296
1/18/2017,PAG IN Equity,-0.00271
1/18/2017,MIKA IJ Equity,-0.00021
1/18/2017,EIM IN Equity,-0.00135
1/18/2017,RAIL3 BZ Equity,-0.00307
1/18/2017,ICT PM Equity,-0.00173
1/18/2017,RBK IN Equity,-0.00047
1/18/2017,MRCO IN Equity,-0.00086
1/18/2017,DMC PM Equity,-0.00030
1/18/2017,EEM US Equity,-0.00062
1/18/2017,PARAUCO CI Equity,-0.00010
1/18/2017,MPI PM Equity,-0.00249
1/18/2017,GFREGIO MM Equity,-0.00098
1/19/2017,EEM US Equity,-0.00061
1/19/2017,MIKA IJ Equity,-0.00024
1/19/2017,SRCM IN Equity,-0.00222
1/19/2017,ALSEA* MM Equity,-0.00275
1/19/2017,EIM IN Equity,-0.00138
1/19/2017,ICT PM Equity,-0.00186
1/19/2017,DMC PM Equity,-0.00029
1/19/2017,6409 TT Equity,-0.00073
1/19/2017,4613 JT Equity,-0.00083
1/19/2017,RBK IN Equity,-0.00047
1/19/2017,SECB PM Equity,-0.00180
1/19/2017,RAIL3 BZ Equity,-0.00309
1/19/2017,MPI PM Equity,-0.00254
1/19/2017,PI IN Equity,-0.00085
1/19/2017,URC PM Equity,0.00000
1/19/2017,JPYUSD Curncy,0.00009
1/19/2017,GFREGIO MM Equity,-0.00096
1/19/2017,TVSL IN Equity,-0.00123
1/19/2017,2199 HK Equity,-0.00028
1/19/2017,PARAUCO CI Equity,-0.00010
1/19/2017,KLBF IJ Equity,-0.00087
1/19/2017,PAG IN Equity,-0.00272
1/19/2017,MRCO IN Equity,-0.00085
1/19/2017,KINO IJ Equity,-0.00013
1/19/2017,ACES IJ Equity,-0.00004
1/20/2017,SRCM IN Equity,-0.00215
1/20/2017,SECB PM Equity,-0.00178
1/20/2017,6409 TT Equity,-0.00072
1/20/2017,4613 JT Equity,-0.00084
1/20/2017,ACES IJ Equity,-0.00003
1/20/2017,KINO IJ Equity,-0.00013
1/20/2017,PAG IN Equity,-0.00263
1/20/2017,2199 HK Equity,-0.00028
1/20/2017,MPI PM Equity,-0.00246
1/20/2017,MIKA IJ Equity,-0.00025
1/20/2017,KLBF IJ Equity,-0.00086
1/20/2017,PARAUCO CI Equity,-0.00009
1/20/2017,GFREGIO MM Equity,-0.00097
1/20/2017,URC PM Equity,0.00000
1/20/2017,ALSEA* MM Equity,-0.00288
1/20/2017,EEM US Equity,-0.00061
1/20/2017,MRCO IN Equity,-0.00083
1/20/2017,TVSL IN Equity,-0.00117
1/20/2017,JPYUSD Curncy,0.00010
1/20/2017,RAIL3 BZ Equity,-0.00331
1/20/2017,ICT PM Equity,-0.00183
1/20/2017,PI IN Equity,-0.00081
1/20/2017,RBK IN Equity,-0.00044
1/20/2017,DMC PM Equity,-0.00027
1/20/2017,EIM IN Equity,-0.00135
1/23/2017,PAG IN Equity,-0.00250
1/23/2017,TVSL IN Equity,-0.00116
1/23/2017,MRCO IN Equity,-0.00081
1/23/2017,6409 TT Equity,-0.00071
1/23/2017,4613 JT Equity,-0.00084
1/23/2017,SRCM IN Equity,-0.00204
1/23/2017,GFREGIO MM Equity,-0.00104
1/23/2017,ALSEA* MM Equity,-0.00318
1/23/2017,SECB PM Equity,-0.00180
1/23/2017,2199 HK Equity,-0.00029
1/23/2017,ACES IJ Equity,-0.00003
1/23/2017,MIKA IJ Equity,-0.00023
1/23/2017,RAIL3 BZ Equity,-0.00342
1/23/2017,PARAUCO CI Equity,-0.00009
1/23/2017,URC PM Equity,0.00000
1/23/2017,KLBF IJ Equity,-0.00083
1/23/2017,EEM US Equity,-0.00064
1/23/2017,JPYUSD Curncy,0.00012
1/23/2017,PI IN Equity,-0.00077
1/23/2017,KINO IJ Equity,-0.00013
1/23/2017,RBK IN Equity,-0.00049
1/23/2017,MPI PM Equity,-0.00259
1/23/2017,EIM IN Equity,-0.00134
1/23/2017,DMC PM Equity,-0.00027
1/23/2017,ICT PM Equity,-0.00186
1/24/2017,MPI PM Equity,-0.00228
1/24/2017,ACES IJ Equity,-0.00004
1/24/2017,EEM US Equity,-0.00063
1/24/2017,TVSL IN Equity,-0.00130
1/24/2017,RAIL3 BZ Equity,-0.00342
1/24/2017,DMC PM Equity,-0.00024
1/24/2017,PI IN Equity,-0.00095
1/24/2017,SRCM IN Equity,-0.00217
1/24/2017,KINO IJ Equity,-0.00013
1/24/2017,GFREGIO MM Equity,-0.00111
1/24/2017,PAG IN Equity,-0.00258
1/24/2017,RBK IN Equity,-0.00050
1/24/2017,2199 HK Equity,-0.00028
1/24/2017,4613 JT Equity,-0.00079
1/24/2017,JPYUSD Curncy,0.00012
1/24/2017,ICT PM Equity,-0.00187
1/24/2017,SECB PM Equity,-0.00164
1/24/2017,ALSEA* MM Equity,-0.00380
1/24/2017,PARAUCO CI Equity,-0.00010
1/24/2017,6409 TT Equity,-0.00062
1/24/2017,EIM IN Equity,-0.00129
1/24/2017,MRCO IN Equity,-0.00081
1/24/2017,KLBF IJ Equity,-0.00087
1/24/2017,URC PM Equity,0.00000
1/24/2017,MIKA IJ Equity,-0.00022
1/25/2017,EIM IN Equity,-0.00124
1/25/2017,RBK IN Equity,-0.00049
1/25/2017,MIKA IJ Equity,-0.00022
1/25/2017,PAG IN Equity,-0.00260
1/25/2017,DMC PM Equity,-0.00023
1/25/2017,KLBF IJ Equity,-0.00086
1/25/2017,EEM US Equity,-0.00068
1/25/2017,MPI PM Equity,-0.00220
1/25/2017,RAIL3 BZ Equity,-0.00339
1/25/2017,TVSL IN Equity,-0.00125
1/25/2017,KINO IJ Equity,-0.00012
1/25/2017,SRCM IN Equity,-0.00217
1/25/2017,URC PM Equity,0.00000
1/25/2017,ALSEA* MM Equity,-0.00395
1/25/2017,ACES IJ Equity,-0.00004
1/25/2017,GFREGIO MM Equity,-0.00116
1/25/2017,ICT PM Equity,-0.00190
1/25/2017,PARAUCO CI Equity,-0.00011
1/25/2017,6409 TT Equity,-0.00062
1/25/2017,4613 JT Equity,-0.00082
1/25/2017,2199 HK Equity,-0.00028
1/25/2017,PI IN Equity,-0.00095
1/25/2017,MRCO IN Equity,-0.00080
1/25/2017,JPYUSD Curncy,0.00012
1/25/2017,SECB PM Equity,-0.00161
1/26/2017,URC PM Equity,0.00000
1/26/2017,6409 TT Equity,-0.00061
1/26/2017,RBK IN Equity,-0.00047
1/26/2017,EEM US Equity,-0.00070
1/26/2017,RAIL3 BZ Equity,-0.00347
1/26/2017,TVSL IN Equity,-0.00125
1/26/2017,MIKA IJ Equity,-0.00023
1/26/2017,EIM IN Equity,-0.00124
1/26/2017,GFREGIO MM Equity,-0.00114
1/26/2017,ALSEA* MM Equity,-0.00399
1/26/2017,KLBF IJ Equity,-0.00087
1/26/2017,SRCM IN Equity,-0.00217
1/26/2017,PAG IN Equity,-0.00258
1/26/2017,2199 HK Equity,-0.00025
1/26/2017,KINO IJ Equity,-0.00013
1/26/2017,JPYUSD Curncy,0.00012
1/26/2017,PARAUCO CI Equity,-0.00011
1/26/2017,ICT PM Equity,-0.00190
1/26/2017,ACES IJ Equity,-0.00004
1/26/2017,PI IN Equity,-0.00093
1/26/2017,MRCO IN Equity,-0.00078
1/26/2017,DMC PM Equity,-0.00022
1/26/2017,SECB PM Equity,-0.00161
1/26/2017,4613 JT Equity,-0.00081
1/26/2017,MPI PM Equity,-0.00217
1/27/2017,KLBF IJ Equity,-0.00083
1/27/2017,SRCM IN Equity,-0.00217
1/27/2017,GFREGIO MM Equity,-0.00119
1/27/2017,ACES IJ Equity,-0.00004
1/27/2017,TVSL IN Equity,-0.00123
1/27/2017,SECB PM Equity,-0.00156
1/27/2017,MIKA IJ Equity,-0.00022
1/27/2017,6409 TT Equity,-0.00060
1/27/2017,URC PM Equity,0.00000
1/27/2017,KINO IJ Equity,-0.00012
1/27/2017,JPYUSD Curncy,0.00011
1/27/2017,EEM US Equity,-0.00071
1/27/2017,ICT PM Equity,-0.00187
1/27/2017,MRCO IN Equity,-0.00079
1/27/2017,2199 HK Equity,-0.00025
1/27/2017,RBK IN Equity,-0.00048
1/27/2017,PAG IN Equity,-0.00257
1/27/2017,RAIL3 BZ Equity,-0.00350
1/27/2017,PARAUCO CI Equity,-0.00011
1/27/2017,4613 JT Equity,-0.00078
1/27/2017,MPI PM Equity,-0.00212
1/27/2017,PI IN Equity,-0.00091
1/27/2017,ALSEA* MM Equity,-0.00415
1/27/2017,EIM IN Equity,-0.00123
1/27/2017,DMC PM Equity,-0.00021
1/30/2017,PI IN Equity,-0.00092
1/30/2017,TVSL IN Equity,-0.00126
1/30/2017,MPI PM Equity,-0.00195
1/30/2017,KINO IJ Equity,-0.00013
1/30/2017,SECB PM Equity,-0.00123
1/30/2017,KLBF IJ Equity,-0.00085
1/30/2017,RBK IN Equity,-0.00048
1/30/2017,PARAUCO CI Equity,-0.00010
1/30/2017,ACES IJ Equity,-0.00004
1/30/2017,DMC PM Equity,-0.00019
1/30/2017,SRCM IN Equity,-0.00221
1/30/2017,ALSEA* MM Equity,-0.00428
1/30/2017,EEM US Equity,-0.00071
1/30/2017,GFREGIO MM Equity,-0.00122
1/30/2017,MIKA IJ Equity,-0.00023
1/30/2017,4613 JT Equity,-0.00079
1/30/2017,MRCO IN Equity,-0.00078
1/30/2017,PAG IN Equity,-0.00263
1/30/2017,EIM IN Equity,-0.00125
1/30/2017,RAIL3 BZ Equity,-0.00347
1/30/2017,URC PM Equity,0.00000
1/30/2017,2199 HK Equity,-0.00027
1/30/2017,JPYUSD Curncy,0.00014
1/30/2017,6409 TT Equity,-0.00058
1/30/2017,ICT PM Equity,-0.00166
1/31/2017,KLBF IJ Equity,-0.00085
1/31/2017,4613 JT Equity,-0.00081
1/31/2017,MIKA IJ Equity,-0.00024
1/31/2017,GFREGIO MM Equity,-0.00124
1/31/2017,ALSEA* MM Equity,-0.00438
1/31/2017,MPI PM Equity,-0.00204
1/31/2017,RBK IN Equity,-0.00044
1/31/2017,EEM US Equity,-0.00073
1/31/2017,2199 HK Equity,-0.00029
1/31/2017,PARAUCO CI Equity,-0.00011
1/31/2017,KINO IJ Equity,-0.00012
1/31/2017,MRCO IN Equity,-0.00076
1/31/2017,SRCM IN Equity,-0.00215
1/31/2017,DMC PM Equity,-0.00019
1/31/2017,ICT PM Equity,-0.00164
1/31/2017,RAIL3 BZ Equity,-0.00337
1/31/2017,ACES IJ Equity,-0.00004
1/31/2017,EIM IN Equity,-0.00119
1/31/2017,6409 TT Equity,-0.00052
1/31/2017,URC PM Equity,0.00000
1/31/2017,TVSL IN Equity,-0.00125
1/31/2017,PAG IN Equity,-0.00261
1/31/2017,SECB PM Equity,-0.00123
1/31/2017,PI IN Equity,-0.00089
1/31/2017,JPYUSD Curncy,0.00016
2/1/2017,DMC PM Equity,-0.00019
2/1/2017,EEM US Equity,-0.00072
2/1/2017,KINO IJ Equity,-0.00011
2/1/2017,RBK IN Equity,-0.00047
2/1/2017,EIM IN Equity,-0.00122
2/1/2017,4613 JT Equity,-0.00090
2/1/2017,MRCO IN Equity,-0.00075
2/1/2017,PARAUCO CI Equity,-0.00011
2/1/2017,MPI PM Equity,-0.00200
2/1/2017,KLBF IJ Equity,-0.00087
2/1/2017,URC PM Equity,0.00000
2/1/2017,ACES IJ Equity,-0.00005
2/1/2017,6409 TT Equity,-0.00047
2/1/2017,2199 HK Equity,-0.00023
2/1/2017,MIKA IJ Equity,-0.00023
2/1/2017,GFREGIO MM Equity,-0.00123
2/1/2017,ICT PM Equity,-0.00159
2/1/2017,PAG IN Equity,-0.00252
2/1/2017,TVSL IN Equity,-0.00126
2/1/2017,RAIL3 BZ Equity,-0.00328
2/1/2017,SECB PM Equity,-0.00113
2/1/2017,ALSEA* MM Equity,-0.00432
2/1/2017,SRCM IN Equity,-0.00221
2/1/2017,JPYUSD Curncy,0.00017
2/1/2017,PI IN Equity,-0.00092
2/2/2017,ALSEA* MM Equity,-0.00424
2/2/2017,PARAUCO CI Equity,-0.00013
2/2/2017,EEM US Equity,-0.00074
2/2/2017,PI IN Equity,-0.00097
2/2/2017,4613 JT Equity,-0.00089
2/2/2017,2199 HK Equity,-0.00023
2/2/2017,6409 TT Equity,-0.00047
2/2/2017,KINO IJ Equity,-0.00011
2/2/2017,SRCM IN Equity,-0.00220
2/2/2017,DMC PM Equity,-0.00019
2/2/2017,PAG IN Equity,-0.00252
2/2/2017,TVSL IN Equity,-0.00125
2/2/2017,EIM IN Equity,-0.00111
2/2/2017,MIKA IJ Equity,-0.00023
2/2/2017,KLBF IJ Equity,-0.00090
2/2/2017,URC PM Equity,0.00000
2/2/2017,GFREGIO MM Equity,-0.00123
2/2/2017,RBK IN Equity,-0.00047
2/2/2017,MRCO IN Equity,-0.00076
2/2/2017,ACES IJ Equity,-0.00005
2/2/2017,JPYUSD Curncy,0.00017
2/2/2017,ICT PM Equity,-0.00160
2/2/2017,MPI PM Equity,-0.00199
2/2/2017,RAIL3 BZ Equity,-0.00339
2/2/2017,SECB PM Equity,-0.00115
2/3/2017,ALSEA* MM Equity,-0.00421
2/3/2017,ACES IJ Equity,-0.00005
2/3/2017,MPI PM Equity,-0.00188
2/3/2017,SRCM IN Equity,-0.00223
2/3/2017,MRCO IN Equity,-0.00077
2/3/2017,MIKA IJ Equity,-0.00023
2/3/2017,DMC PM Equity,-0.00019
2/3/2017,EIM IN Equity,-0.00104
2/3/2017,SECB PM Equity,-0.00113
2/3/2017,RAIL3 BZ Equity,-0.00344
2/3/2017,4613 JT Equity,-0.00088
2/3/2017,RBK IN Equity,-0.00046
2/3/2017,PAG IN Equity,-0.00249
