Date,name1,value,parent,name
5/1/2017,ACES IJ Equity,0.002854912,Origin,ACES IJ 
5/1/2017,2199 HK Equity,0.025844434,Origin,2199 HK 
5/1/2017,TVSL IN Equity,0.04430582,Origin,TVSL IN 
5/1/2017,RBK IN Equity,0.023855435,Origin,RBK IN 
5/1/2017,EEM US Equity,0.038004728,Origin,EEM
5/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
5/1/2017,PARAUCO CI Equity,0.00531829,Origin,PARAUCO CI 
5/1/2017,PAG IN Equity,0.071150338,Origin,PAG IN 
5/1/2017,MPI PM Equity,0.089994215,Origin,MPI PM 
5/1/2017,URC PM Equity,5.50E-05,Origin,URC PM 
5/1/2017,KLBF IJ Equity,0.034385275,Origin,KLBF IJ 
5/1/2017,SRCM IN Equity,0.06224375,Origin,SRCM IN 
5/1/2017,MRCO IN Equity,0.032863014,Origin,MRCO IN 
5/1/2017,4613 JT Equity,0.038173145,Origin,4613 JT 
5/1/2017,6409 TT Equity,0.041529822,Origin,6409 TT 
5/1/2017,DMC PM Equity,0.020899585,Origin,DMC PM 
5/1/2017,PI IN Equity,0.042239019,Origin,PI IN 
5/1/2017,SECB PM Equity,0.084051029,Origin,SECB PM 
5/1/2017,RAIL3 BZ Equity,0.048964343,Origin,RAIL3 BZ 
5/1/2017,ALSEA* MM Equity,0.089188109,Origin,ALSEA* MM 
6/1/2017,ICT PM Equity,0.089533465,Origin,ICT PM 
6/1/2017,ALSEA* MM Equity,0.087806224,Origin,ALSEA* MM 
6/1/2017,KLBF IJ Equity,0.034496821,Origin,KLBF IJ 
6/1/2017,MPI PM Equity,0.089566697,Origin,MPI PM 
6/1/2017,PI IN Equity,0.042409551,Origin,PI IN 
6/1/2017,MRCO IN Equity,0.032778695,Origin,MRCO IN 
6/1/2017,4613 JT Equity,0.037613971,Origin,4613 JT 
6/1/2017,RBK IN Equity,0.023955808,Origin,RBK IN 
6/1/2017,2199 HK Equity,0.025686196,Origin,2199 HK 
6/1/2017,EIM IN Equity,0.049339692,Origin,EIM IN 
6/1/2017,DMC PM Equity,0.019767877,Origin,DMC PM 
6/1/2017,RAIL3 BZ Equity,0.049705573,Origin,RAIL3 BZ 
6/1/2017,TVSL IN Equity,0.04443151,Origin,TVSL IN 
6/1/2017,GFREGIO MM Equity,0.029780243,Origin,GFREGIO MM 
6/1/2017,URC PM Equity,5.52E-05,Origin,URC PM 
6/1/2017,KINO IJ Equity,0.003626305,Origin,KINO IJ 
6/1/2017,ACES IJ Equity,0.00284528,Origin,ACES IJ 
6/1/2017,6409 TT Equity,0.041308739,Origin,6409 TT 
6/1/2017,SECB PM Equity,0.08328362,Origin,SECB PM 
6/1/2017,SRCM IN Equity,0.062670079,Origin,SRCM IN 
6/1/2017,PARAUCO CI Equity,0.005279061,Origin,PARAUCO CI 
6/1/2017,JPYUSD Curncy,0,Origin,JPYUSD 
6/1/2017,PAG IN Equity,0.070238866,Origin,PAG IN 
6/1/2017,MIKA IJ Equity,0.027925417,Origin,MIKA IJ 
6/1/2017,EEM US Equity,0.037730008,Origin,EEM
9/1/2017,RBK IN Equity,0.023984955,Origin,RBK IN 
9/1/2017,PAG IN Equity,0.070988578,Origin,PAG IN 
9/1/2017,PI IN Equity,0.042082918,Origin,PI IN 
9/1/2017,URC PM Equity,5.56E-05,Origin,URC PM 
9/1/2017,TVSL IN Equity,0.044444879,Origin,TVSL IN 
